Debts,Goal,Why we didn't do this initially,Result,Debt,Progress
UI Tokens Cleanup,Remove separately maintained CSS variables and replace them with Ant Design (AntD) tokens and variables. Upgrade to the latest version of Ant Design.,Because at the time AntD v5 was not introduced and we had limited knowledge of CSS tokens and their maintainability.,"Improves DX and makes it easy to change themes. Affects all three apps: Customer Portal, CRM, and CashApps.",Tech debt,
Charts Revamp,Move away from AntD Charts due to poor extensibility and documentation; adopt a standard charting library for Growfin.,"Current chart library solves simple problems, but our current needs are more complex — we need support for advanced charts.",CRM Dashboard impact. UI looks smoother and cleaner,UI and UX debt,Completed
Icon Pack Unification,Avoid separate icon installations across apps; create a common icon pack to reduce bundle size and maintenance overhead.and we're facing high consumption of bandwidth that allocated for us,we noticed this problem recently in the begining we had limited knowledge,Reduced redundant downloads,Tech debt,Completed
Authentication Logic Change in CRM,Update the authentication logic in CRM for better security and maintainability,with limited knowledge we impletemented it,-   More secure auth flow  -   Easier debugging  -   Better error handling,Tech debt,
Dashboard Responsive Layout,Ensure CRM dashboards are responsive and optimized for different screen sizes.,with limited knowledge we impletemented it but now we have solid understanding,Improve responsiveness in large screen while space will be less,UI debt,Completed
Assign CO and Assign Collection Strategy Revamp,Improve the UI and underlying code for assigning Collection Owners (COs) and Collection Strategies.,Leagcy code we need to refactor this soon,"it was written with outdated practices or tools. Despite its age, it's often critical because this will difficult to maintain and make new changes",Tech debt,Completed
RTE Revamp,Enhance the Rich Text Editor (RTE) in CRM to improve its extensibility and provide a better user experience.,with limited knowledge we impletemented it and at the time customer expectation is unknown so now we know the full need,UX and Dx More extensible and customizable RTE and We can avoid lots of bugs,Tech debt,Completed
Deprecated Comment Component Removal,"Remove the deprecated comment component, which uses the Draft.js library, and migrate any necessary data to a new solution.",legacy code and its depricated  and this needs backend revamp also,This package is depricated need to be removed ,Tech debt,Completed
State Management Refactor,Remove Redux and replace it with Jotai for state management in CRM.,we dont need the redux store anymore this causing memory problem we need to remove this,Reduce memory consumption and Improves DX,Tech debt,
Luzmo Package Removal,This package is depricated we need to update it ,currently cuml is changed into luzmo so we need to upgrade,removal of depricated package,Tech debt,Completed
AG Grid Upgrade,Update the AG Grid table component to the latest version.,Version upgrade ,UX  Modernized table component. Potential performance improvements. Reduced CSS bundle size.,Tech debt,Completed
Filter Component Revamp,"Refactor and centralize filter logic into a single, reusable component for consistent filtering across all three apps.",currently we have 3 apps this is good time to commonize and improve the consitency,UX and UI and DX Consistent filtering behavior across apps. Reduced code duplication and improved maintainability. Enhanced user experience with a standardized filter UI.,Tech debt,Completed
CRM Initial Load Time Optimization,Reduce the initial load time of the CRM application by identifying and eliminating unnecessary API calls made during the initial page load.,Currently our app is growing and app size is increasing,Improves UX and reducing inital load will benift in smooth UX,Tech debt,Completed
React 18 Upgrade,Upgrade React to version 18 in CRM and CashApps,Version upgrade next  latest version,"Easier to develop & maintain,Works with latest systems, More stable, reliable app.",Tech debt,Completed
Move Away from Stitches and Styled Components,Migrate away from @stitches/react and styled-components for styling,package deprication and maintance mode,Easier to develop & maintain.,Tech debt,
Vite and Sentry Upgrade,Upgrade Vite and Sentry SDKs to the latest versions,version upgrade,Easier to develop & maintain.,Tech debt,Completed
Move Away from ESLint to Biome,Migrate from ESLint to Biome for linting and formatting,new library ,Easier to develop & maintain,Tech debt,Completed
Jotai Upgrade in cashapps,Upgrading the current jotai library to latest version,,Better DX ,Tech debt,Completed
Rearchitect on how we render cashapps in CRM,Bringing up a better way on how cashapps is rendered in CRM also to reduce the deployment time,,Better DX and single repo and single deployment,Tech debt,Completed
Move auth tokens from code to secrets,To not expose auth tokens,,More secure way to access token,Tech debt,Completed
Introduction of Testing library (Vitest),Grow  component - add vitest ,,,,
Customer portal latest Growcomp,growcompoenent latestversion,CRM and cashapps have latest version with testiing,consistency ,Tech debt,
Improving cashapps folder structure,Consistent structure across repo's,,Better consitent modules,Tech debt,
Bundle Optimization,,,,,
